code,p17hong,p17yoo,p17the,p17han,p17kuk,p17jung,p17valid,p16the,p16han,p16kuk,p16jung,p16valid,r17han,r17the,r17hong,r17kuk,r17yoo,r17jung,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
1101072,1677,475,3109,2152,1438,531,7273,1837,2338,1679,759,7215,0.295888904,0.42747147,0.230578853,0.197717586,0.065310051,0.073009762,0.27614383,0.351455783,0.252392754,0.114095355,0.15132764,-0.055566879,-0.054675169,-0.041085593,0.42747147,1,0.196892617,0.230578853,2,0.197717586,3,0.073009762,5,0.065310051,4
1101073,1928,980,4653,2908,2082,984,10672,2847,2643,2489,1140,9852,0.272488756,0.43600075,0.18065967,0.195089955,0.091829085,0.092203898,0.310888828,0.288612284,0.271795677,0.12448657,0.125111922,-0.016123528,-0.076705722,-0.032282672,0.43600075,1,0.240910795,0.195089955,3,0.18065967,2,0.092203898,5,0.091829085,4
1102052,240,99,442,339,233,61,1081,115,209,165,74,600,0.31359852,0.408880666,0.222016651,0.215541166,0.091581869,0.056429232,0.203129133,0.369165121,0.291446148,0.130709182,0.205751533,-0.055566601,-0.075904982,-0.074279949,0.408880666,1,0.186864015,0.222016651,2,0.215541166,3,0.091581869,4,0.056429232,5
1102054,824,173,809,997,642,114,2582,373,926,652,110,2236,0.386134779,0.313323005,0.319132455,0.248644462,0.067002324,0.04415182,0.179578247,0.445816238,0.31390085,0.052958732,0.133744759,-0.059681458,-0.065256388,-0.008806912,0.319132455,2,0.00580945,0.313323005,1,0.248644462,3,0.067002324,4,0.04415182,5
1102055,452,109,537,561,299,79,1481,259,475,341,70,1243,0.378798109,0.362592843,0.30519919,0.201890614,0.07359892,0.053342336,0.225437197,0.413446597,0.296811136,0.060928972,0.137155645,-0.034648488,-0.094920522,-0.007586636,0.362592843,1,0.057393653,0.30519919,2,0.201890614,3,0.07359892,4,0.053342336,5
1102057,685,193,1051,878,571,182,2697,454,766,714,163,2276,0.325546904,0.389692251,0.25398591,0.211716722,0.071560994,0.067482388,0.215295647,0.363252127,0.338592714,0.077297776,0.174396603,-0.037705223,-0.126875992,-0.009815389,0.389692251,1,0.13570634,0.25398591,2,0.211716722,3,0.071560994,4,0.067482388,5
1102058,605,226,1230,831,610,218,2905,628,697,758,245,2504,0.28605852,0.423407917,0.208261618,0.209982788,0.077796902,0.075043029,0.268273684,0.297749614,0.323808045,0.104660912,0.155134234,-0.011691094,-0.113825257,-0.029617882,0.423407917,1,0.213425129,0.209982788,3,0.208261618,2,0.077796902,4,0.075043029,5
1102059,749,148,918,897,597,135,2556,369,892,731,133,2244,0.350938967,0.35915493,0.293035994,0.233568075,0.057902973,0.052816901,0.173035626,0.418286661,0.342788732,0.062367854,0.186119304,-0.067347694,-0.109220657,-0.009550953,0.35915493,1,0.066118936,0.293035994,2,0.233568075,3,0.057902973,4,0.052816901,5
1102060,329,31,301,360,224,42,933,126,353,252,49,830,0.38585209,0.32261522,0.352625938,0.240085745,0.033226152,0.045016077,0.160499629,0.449653722,0.320999258,0.062416522,0.162115591,-0.063801632,-0.080913513,-0.017400445,0.352625938,2,0.030010718,0.32261522,1,0.240085745,3,0.045016077,5,0.033226152,4
1102065,1136,314,2257,1450,1486,312,5537,905,1337,1618,241,4429,0.261874661,0.407621456,0.205165252,0.268376377,0.056709409,0.056348203,0.219402519,0.324133887,0.392257763,0.058426527,0.188218937,-0.062259226,-0.123881386,-0.002078324,0.407621456,1,0.139245079,0.268376377,3,0.205165252,2,0.056709409,4,0.056348203,5
