구분,No.,Korean,Scientific,Family,구분,수량
3. 목련원,12,산딸나무,Cornus kousa,층층나무과,낙엽교목,1
3. 목련원,13,산철쭉,Rhododendron yedoense f. poukhanense ,진달래과,낙엽관목,10
3. 목련원,14,싸리,Lespedeza bicolor ,콩과,낙엽관목,1
3. 목련원,15,억새,Miscanthus sinensis var. purpurascens,벼과,다년초,
3. 목련원,16,영산홍,Rhododendron indicum ,진달래과,낙엽관목,다수
3. 목련원,17,올괴불나무,Lonicera praeflorens,인동과,낙엽관목,1
3. 목련원,18,일본목련,Magnolia obovata,목련과,낙엽교목,6
3. 목련원,19,작살나무,Callicarpa japonica,마편초과,낙엽관목,1
3. 목련원,20,졸참나무,Quercus serrata,참나무과,낙엽교목,2
3. 목련원,21,주걱비비추,Hosta clausa ,비비추과,다년초,
3. 목련원,22,쪽동백나무,Styrax obassia ,때죽나무과,낙엽교목,1
3. 목련원,23,털조록싸리,Lespedeza maximowiczii var. tomentella,콩과,낙엽관목,1
3. 목련원,24,후박나무,Machilus thunbergii ,녹나무과,상록교목,1
4. 갈매나무원,1,고광나무,Philadelphus schrenkii ,장미과,낙엽관목,3
4. 갈매나무원,2,굴참나무,Quercus variabilis ,참나무과,낙엽교목,1
4. 갈매나무원,3,까마귀베개,Rhamnella franguloides,갈매나무과,낙엽관목,5
4. 갈매나무원,4,대추나무,Zizyphus jujuba,갈매나무과,낙엽관목,20
4. 갈매나무원,5,돌갈매나무,Rhamnus parvifolia,갈매나무과,낙엽관목,6
4. 갈매나무원,6,먹넌출,Berchemia racemosa var. magna,갈매나무과,낙엽덩굴목본,10
4. 갈매나무원,7,묏대추나무,Zizyphus jujuba,갈매나무과,낙엽관목,6
4. 갈매나무원,8,벌개미취,Aster koraiensis ,국화과,다년초,
4. 갈매나무원,9,산딸나무,Cornus kousa,층층나무과,낙엽교목,2
4. 갈매나무원,10,살구나무,Prunus armeniaca var. ansu,장미과,낙엽관목,2
4. 갈매나무원,11,상동나무,Sageretia thea,갈매나무과,낙엽관목,1
4. 갈매나무원,12,섬쑥부쟁이,Aster glehnii,국화과,다년초,
4. 갈매나무원,13,소나무,Pinus densiflora,소나무과,상록교목,5
4. 갈매나무원,14,이나무,Idesia polycarpa ,이나무과,낙엽교목,1
4. 갈매나무원,15,이팝나무,Chionanthus retusus,물푸레나무과,낙엽교목,12
4. 갈매나무원,16,참느릅나무,Ulmus parvifolia ,느릅나무과,낙엽교목,2
4. 갈매나무원,17,참취,Aster scaber,국화과,다년초,
4. 갈매나무원,18,태백기린초,Sedum latiovalifolium,돌나물과,다년초,
4. 갈매나무원,19,편백,Chamaecyparis obtusa,측백나무과,상록교목,3
4. 갈매나무원,20,헛개나무,Hovenia dulcis ,갈매나무과,낙엽교목,6
4. 갈매나무원,21,홀아비꽃대,Chloranthus japonicus,홀아비꽃대과,다년초,
4. 갈매나무원,22,회잎나무,Euonymus alatus f. ciliatodentatus,노박덩굴과,낙엽관목,2
5. 덩굴식물원,1,왕머루,Vitis amurensis,포도과,낙엽덩굴목본,3
5. 덩굴식물원,2,먹넌출,Berchemia racemosa var. magna,갈매나무과,낙엽덩굴목본,3
5. 덩굴식물원,3,산벚나무,Prunus sargentii ,장미과,낙엽교목,1
5. 덩굴식물원,4,양다래(키위),Actinidia deliciosa,다래나무과,낙엽덩굴목본,2
5. 덩굴식물원,5,오미자,Schisandra chinensis,오미자과,낙엽덩굴목본,3
5. 덩굴식물원,6,왕원추리,Hemerocallis fulva f. kwanso,백합과,다년초,
5. 덩굴식물원,7,이팝나무,Chionanthus retusus,물푸레나무과,낙엽교목,50
5. 덩굴식물원,8,주걱비비추,Hosta clausa ,백합과,다년초,
5. 덩굴식물원,9,큰꿩의비름,Hylotelephium spectabile,돌나물과,다년초,
5. 덩굴식물원,10,팽나무,Celtis sinensis ,느릅나무과,낙엽교목,2
5. 덩굴식물원,11,포도,Vitis vinifera,포도과,낙엽덩굴목본,1
6. 야생화원 ②,1,감나무,Diospyros kaki ,감나무과,낙엽교목,5
6. 야생화원 ②,2,개족도리풀,Asarum maculatum ,쥐방울덩굴과,다년초,
6. 야생화원 ②,3,개회나무,Syringa reticulata var. mandshurica,물푸레나무과,낙엽교목,1
6. 야생화원 ②,4,갯방풍,Glehnia littoralis ,산형과,다년초,
6. 야생화원 ②,5,고광나무,Philadelphus schrenkii ,장미과,낙엽관목,30
