구분,No.,Korean,Scientific,Family,구분,수량
9. 조팝나무원,8,꽃범의꼬리,Physostegia virginiana,꿀풀과,다년초,
9. 조팝나무원,9,꽃사과나무,Malus floribunda ,장미과,낙엽관목,2
9. 조팝나무원,10,꽝꽝나무,Ilex crenata,감탕나무과,상록관목,1
9. 조팝나무원,11,나도밤나무,Meliosma myriantha ,나도밤나무과,낙엽교목,1
9. 조팝나무원,12,두릅나무,Aralia elata,두릅나무과,낙엽관목,20
9. 조팝나무원,13,등나무,Wisteria floribunda,콩과,낙엽덩굴목본,1
9. 조팝나무원,14,떡갈나무,Quercus dentata,참나무과,낙엽교목,7
9. 조팝나무원,15,만첩조팝나무,Spiraea prunifolia ,장미과,낙엽관목,10
9. 조팝나무원,16,매실나무,Prunus mume,장미과,낙엽관목,5
9. 조팝나무원,17,문배,Pyrus ussuriensis var. seoulensis ,장미과,낙엽관목,3
9. 조팝나무원,18,미스김 라일락,Syringa pubescens subsp. patula 'Miss Kim',물푸레나무과,낙엽관목,5
9. 조팝나무원,19,박태기나무,Cercis chinensis,콩과,낙엽관목,3
9. 조팝나무원,20,박태기나무류 (yellow),Cercis sp.,콩과,낙엽관목,3
9. 조팝나무원,21,밤나무,Castanea crenata,참나무과,낙엽교목,2
9. 조팝나무원,22,산벚나무,Prunus sargentii ,장미과,낙엽교목,40
9. 조팝나무원,23,복자기,Acer triflorum,단풍나무과,낙엽교목,18
9. 조팝나무원,24,뻐꾹나리,Tricyrtis macropoda,백합과,다년초,
9. 조팝나무원,25,산겨릅나무,Acer tegmentosum,단풍나무과,낙엽교목,4
9. 조팝나무원,26,산딸나무,Cornus kousa,층층나무과,낙엽교목,12
9. 조팝나무원,27,살구나무,Prunus armeniaca var. ansu,장미과,낙엽교목,1
9. 조팝나무원,28,일본조팝나무 '시로바나',Spiraea japonica 'Shirobana',장미과,낙엽관목,100
9. 조팝나무원,29,서양측백 '에메랄드 그린', Thuja occidentalis 'Emerald Green' ,측백나무과,상록교목,1
9. 조팝나무원,30,서어나무,Carpinus laxiflora,자작나무과,낙엽교목,2
9. 조팝나무원,31,털설구화 '라나스',Viburnum plicatum f. tomentosum 'Lanarth',인동과,낙엽관목,3
9. 조팝나무원,32,양국수나무 '디아블로',Physocarpus opulifolius 'Diabolo',장미과,낙엽관목,3
9. 조팝나무원,33,왕머루,Vitis amurensis,포도과,낙엽덩굴목본,1
9. 조팝나무원,34,으름덩굴,Akebia quinata,으름덩굴과,낙엽덩굴목본,1
9. 조팝나무원,35,음나무,Kalopanax septemlobus,두릅나무과,낙엽교목,1
9. 조팝나무원,36,이팝나무,Chionanthus retusus,물푸레나무과,낙엽교목,10
9. 조팝나무원,37,일본조팝나무,Spiraea japonica,장미과,낙엽관목,10
9. 조팝나무원,38,자귀나무,Albizia julibrissin,콩과,낙엽교목,1
9. 조팝나무원,39,조팝나무,Spiraea prunifolia f. simpliciflora,장미과,낙엽관목,200
9. 조팝나무원,40,졸참나무,Quercus serrata,참나무과,낙엽교목,3
9. 조팝나무원,41,중국윤노리나무,Photinia beauverdiana ,장미과,낙엽교목,3
9. 조팝나무원,42,진달래,Rhododendron mucronulatum ,진달래과,낙엽관목,5
9. 조팝나무원,43,쪽동백나무,Styrax obassia ,때죽나무과,낙엽교목,3
9. 조팝나무원,44,참꽃나무,Rhododendron weyrichii,진달래과,낙엽관목,20
9. 조팝나무원,45,콩배나무,Pyrus calleryana var. fauriei ,장미과,낙엽교목,2
9. 조팝나무원,46,큰꿩의비름,Hylotelephium spectabile,돌나물과,다년초,
9. 조팝나무원,47,털조록싸리,Lespedeza maximowiczii var. tomentella,콩과,낙엽관목,1
9. 조팝나무원,48,피나무,Tilia amurensis ,피나무과,낙엽교목,2
10. 식용수원,1,가래나무,Juglans mandshurica,가래나무과,낙엽교목,15
10. 식용수원,2,감나무,Diospyros kaki ,감나무과,낙엽교목,1
10. 식용수원,3,개암나무,Corylus heterophylla,자작나무과,낙엽관목,1
10. 식용수원,4,계수나무,Cercidiphyllum japonicum ,계수나무과,낙엽교목,10
10. 식용수원,5,공조팝나무,Spiraea cantoniensis ,장미과,낙엽관목,10
10. 식용수원,6,굴참나무,Quercus variabilis ,참나무과,낙엽교목,1
10. 식용수원,7,굴피나무,Platycarya strobilacea ,가래나무과,낙엽교목,1
10. 식용수원,8,깽깽이풀,Jeffersonia dubia,매자나무과,다년초,
10. 식용수원,9,낙상홍,Ilex serrata ,감탕나무과,낙엽관목,10
10. 식용수원,10,노루오줌,Astilbe rubra,범의귀과,다년초,
10. 식용수원,11,누리장나무,Clerodendrum trichotomum,마편초과,낙엽관목,4
10. 식용수원,12,능수 매실나무,Prunus mume 'Pendula',장미과,낙엽관목,1
10. 식용수원,13,단풍나무,Acer palmatum,단풍나무과,낙엽교목,6
10. 식용수원,14,두릅나무,Aralia elata,두릅나무과,낙엽관목,6
10. 식용수원,15,둥글레,Polygonatum odoratum var. pluriflorum,백합과,다년초,
10. 식용수원,16,등나무,Wisteria floribunda,콩과,낙엽덩굴목본,1
10. 식용수원,17,말채나무,Cornus walteri ,층층나무과,낙엽교목,2
10. 식용수원,18,매실나무,Prunus mume,장미과,낙엽관목,20
10. 식용수원,19,매실나무 '토르투어스 드래곤' (운룡매화),Prunus mume 'Tortuous Dragon',장미과,낙엽관목,1
10. 식용수원,20,맥문동,Liriope platyphylla,백합과,다년초,
10. 식용수원,21,모과나무,Chaenomeles sinensis,장미과,낙엽교목,6
10. 식용수원,22,무궁화,Hibiscus syriacus,아욱과,낙엽관목,20
10. 식용수원,23,미선나무,Abeliophyllum distichum,물푸레나무과,낙엽관목,10
10. 식용수원,24,밤나무,Castanea crenata,참나무과,낙엽교목,3
10. 식용수원,25,벌개미취,Aster koraiensis ,국화과,다년초,
10. 식용수원,26,복사나무,Prunus persica,장미과,낙엽관목,20
10. 식용수원,27,복자기,Acer triflorum,단풍나무과,낙엽교목,4
10. 식용수원,28,붓꽃,Iris sanguinea,붓꽃과,다년초,
10. 식용수원,29,비자나무,Torreya nucifera,주목과,상록교목,2
10. 식용수원,30,산뽕나무,Morus bombycis ,뽕나무과,낙엽교목,4
10. 식용수원,31,산사나무,Crataegus pinnatifida,장미과,낙엽교목,17
10. 식용수원,32,살구나무,Prunus armeniaca var. ansu,장미과,낙엽교목,5
10. 식용수원,33,상사화,Lycoris squamigera,수선화과,다년초,
10. 식용수원,34,섬쑥부쟁이,Aster glehnii,국화과,다년초,
10. 식용수원,35,섬초롱꽃,Campanula takesimana,초롱꽃과,다년초,3
10. 식용수원,36,소나무,Pinus densiflora,소나무과,상록교목,2
10. 식용수원,37,양미역취,Solidago altissima,국화과,다년초,
10. 식용수원,38,오갈피나무,Eleutherococcus sessiliflorus ,두릅나무과,낙엽관목,1
10. 식용수원,39,오엽송,Pinus parviflora Glauca Group,소나무과,상록교목,3
10. 식용수원,40,옥잠화,Hosta plantaginea,비비추과,다년초,
10. 식용수원,41,은방울꽃,Convallaria keiskei ,백합과,다년초,
10. 식용수원,42,음나무,Kalopanax septemlobus,두릅나무과,낙엽교목,1
10. 식용수원,43,자귀나무,Albizia julibrissin,콩과,낙엽교목,3
10. 식용수원,44,자엽자두,Prunus cerasifera 'Pissardii',장미과,낙엽관목,3
10. 식용수원,45,조록싸리,Lespedeza maximowiczii,콩과,낙엽관목,1
10. 식용수원,46,조팝나무,Spiraea prunifolia f. simpliciflora,장미과,낙엽관목,3
10. 식용수원,47,졸참나무,Quercus serrata,참나무과,낙엽교목,1
10. 식용수원,48,주걱비비추,Hosta clausa ,비비추과,다년초,
10. 식용수원,49,주목,Taxus cuspidata,주목과,상록교목,55
10. 식용수원,50,편백,Chamaecyparis obtusa,측백나무과,상록교목,8
10. 식용수원,51,호두나무,Juglans regia,가래나무과,낙엽교목,1
10. 식용수원,52,화살나무,Euonymus alatus,노박덩굴과,낙엽관목,25
10. 식용수원,53,황벽나무,Phellodendron amurense,운향과,낙엽교목,2
10. 식용수원,54,회양목,Buxus koreana ,회양목과,상록관목,12
10. 식용수원,55,회화나무,Sophora japonica,콩과,낙엽교목,6
11. 안면송탐방로,1,개옻나무,Rhus trichocarpa,옻나무과,낙엽관목,2
11. 안면송탐방로,2,고비,Osmunda japonica ,고비과,다년초,
11. 안면송탐방로,3,국수나무,Stephanandra incisa,장미과,낙엽관목,다수
11. 안면송탐방로,4,굴거리나무,Daphniphyllum macropodum,굴거리나무과,상록교목,2
11. 안면송탐방로,5,나도밤나무,Meliosma myriantha ,나도밤나무과,낙엽교목,8
11. 안면송탐방로,6,때죽나무,Styrax japonicus,때죽나무과,낙엽교목,20
11. 안면송탐방로,7,말오줌때,Euscaphis japonica,고추나무과,낙엽교목,5
11. 안면송탐방로,8,머귀나무,Zanthoxylum ailanthoides,운향과,낙엽교목,1
11. 안면송탐방로,9,박태기나무,Cercis chinensis,콩과,낙엽관목,5
11. 안면송탐방로,10,산딸나무,Cornus kousa,층층나무과,낙엽교목,30
11. 안면송탐방로,11,산벚나무,Prunus sargentii ,장미과,낙엽교목,20
11. 안면송탐방로,12,산사나무,Crataegus pinnatifida,장미과,낙엽교목,4
11. 안면송탐방로,13,산수유,Cornus officinalis,층층나무과,낙엽관목,40
11. 안면송탐방로,14,상사화,Lycoris squamigera,수선화과,다년초,
11. 안면송탐방로,15,생강나무,Lindera obtusiloba,녹나무과,낙엽관목,5
11. 안면송탐방로,16,수리딸기,Rubus corchorifolius,장미과,낙엽관목,다수
11. 안면송탐방로,17,애기동백나무,Camellia sasanqua,차나무과,상록교목,35
11. 안면송탐방로,18,우산나물,Syneilesis palmata,국화과,다년초,
11. 안면송탐방로,19,음나무,Kalopanax septemlobus,두릅나무과,낙엽교목,1
11. 안면송탐방로,20,자귀나무,Albizia julibrissin,콩과,낙엽교목,3
11. 안면송탐방로,21,졸참나무,Quercus serrata,참나무과,낙엽교목,20
11. 안면송탐방로,22,주걱비비추,Hosta clausa ,비비추과,다년초,
11. 안면송탐방로,23,지네고사리,Thelypteris japonica,처녀고사리과,다년초,
11. 안면송탐방로,24,쪽동백나무,Styrax obassia ,때죽나무과,낙엽교목,5
11. 안면송탐방로,25,편백,Chamaecyparis obtusa,측백나무과,상록교목,10
12. 아산정원,1,가새쑥부쟁이,Aster incisus,국화과,다년초,
12. 아산정원,2,감나무,Diospyros kaki ,감나무과,낙엽교목,5
12. 아산정원,3,골담초,Caragana sinica,콩과,낙엽관목,2
12. 아산정원,4,공작단풍,Acer palmatum var. dissectum ,단풍나무과,낙엽관목,5
12. 아산정원,5,구절초,Dendranthema zawadskii var. latilobum,국화과,다년초,
12. 아산정원,6,굴거리나무,Daphniphyllum macropodum,굴거리나무과,상록교목,2
12. 아산정원,7,꽃댕강나무,Abelia x grandiflora,인동과,낙엽관목,25
12. 아산정원,8,꽃사과나무,Malus floribunda ,장미과,낙엽관목,3
12. 아산정원,9,낙상홍,Ilex serrata ,감탕나무과,낙엽관목,30
12. 아산정원,10,노랑꽃창포,Iris pseudacorus,붓꽃과,다년초,
12. 아산정원,11,노랑무늬사사,Pleioblastus viridi-striatus,벼과,다년초,
12. 아산정원,12,느티나무,Zelkova serrata,느릅나무과,낙엽교목,3
12. 아산정원,13,능소화,Campsis grandiflora,능소화과,낙엽덩굴목본,3
12. 아산정원,14,다정큼나무,Rhaphiolepis indica var. umbellata,장미과,상록관목,13
12. 아산정원,15,담쟁이덩굴,Parthenocissus tricuspidata,포도과,낙엽덩굴목본,다수
12. 아산정원,16,대추나무,Zizyphus jujuba var. inermis,갈매나무과,낙엽교목,4
12. 아산정원,17,도라지,Platycodon grandiflorus,초롱꽃과,다년초,
12. 아산정원,18,돌단풍,Mukdenia rossii,범의귀과,다년초,
12. 아산정원,19,두메부추,Allium senescens ,백합과,다년초,
12. 아산정원,20,둥근향나무,Juniperus chinensis 'Globosa',측백나무과,상록관목,1
12. 아산정원,21,때죽나무,Styrax japonicus,때죽나무과,낙엽교목,5
12. 아산정원,22,말발도리,Deutzia parviflora ,범의귀과,낙엽관목,10
12. 아산정원,23,말채나무,Cornus walteri ,층층나무과,낙엽교목,1
12. 아산정원,24,매실나무,Prunus mume,장미과,낙엽교목,17
12. 아산정원,25,맥문동,Liriope platyphylla,백합과,다년초,
12. 아산정원,26,멀꿀,Stauntonia hexaphylla,으름덩굴과,상록덩굴목본,3
12. 아산정원,27,모감주나무,Koelreuteria paniculata,무환자나무과,낙엽교목,11
12. 아산정원,28,목련,Magnolia kobus,목련과,낙엽교목,1
12. 아산정원,29,무궁화,Hibiscus syriacus,아욱과,낙엽관목,3
12. 아산정원,30,미국담쟁이덩굴,Parthenocissus quinquefolia ,포도과,낙엽덩굴목본,
12. 아산정원,31,미선나무,Abeliophyllum distichum,물푸레나무과,낙엽관목,1
12. 아산정원,32,밀사초,Carex livida,사초과,다년초,
12. 아산정원,33,반송,Pinus densiflora f. multicaulis,소나무과,낙엽관목,7
12. 아산정원,34,배롱나무,Lagerstroemia indica,부처꽃과,낙엽교목,10
12. 아산정원,35,벽오동,Firmiana simplex ,벽오동과,낙엽교목,1
12. 아산정원,36,복사나무 '남경도',Prunus persica 'Namkyeongdo',장미과,낙엽관목,2
12. 아산정원,37,복자기,Acer triflorum,단풍나무과,낙엽교목,4
12. 아산정원,38,부추,Allium tuberosum ,백합과,다년초,
12. 아산정원,39,불두화,Viburnum opulus f. hydrangeoides,인동과,낙엽관목,2
12. 아산정원,40,붉노랑상사화,Lycoris flavescens,수선화과,다년초,
12. 아산정원,41,붓꽃,Iris sanguinea,붓꽃과,다년초,
12. 아산정원,42,빈카마이너,Vinca minor,협죽도과,다년초,
12. 아산정원,43,사철나무,Euonymus japonicus,노박덩굴과,상록관목,3
12. 아산정원,44,산딸나무,Cornus kousa,층층나무과,낙엽교목,4
12. 아산정원,45,산벚나무,Prunus sargentii ,장미과,낙엽교목,3
12. 아산정원,46,산수국,Hydrangea serrata f. acuminata ,수국과,낙엽관목,20
12. 아산정원,47,산수유,Cornus officinalis,층층나무과,낙엽관목,10
12. 아산정원,48,산철쭉,Rhododendron yedoense f. poukhanense ,진달래과,낙엽관목,다수
12. 아산정원,49,살구나무,Prunus armeniaca var. ansu,장미과,낙엽교목,11
12. 아산정원,50,석류나무,Punica granatum,부처꽃과,낙엽관목,6
12. 아산정원,51,섬초롱꽃,Campanula takesimana,초롱꽃과,다년초,
12. 아산정원,52,섬향나무,Juniperus chinensis var. procumbens,측백나무과,상록관목,
12. 아산정원,53,소나무,Pinus densiflora,소나무과,상록교목,12
12. 아산정원,54,송악,Hedera rhombea,두릅나무과,상록덩굴목본,다수
12. 아산정원,55,수국,Hydrangea macrophylla,수국과,낙엽관목,20
12. 아산정원,56,수련,Nymphaea odorata,수련과,다년초,
12. 아산정원,57,능수버들,Salix pseudolasiogyne,버드나무과,낙엽교목,1
12. 아산정원,58,수양벚나무,Prunus verecunda var. pendula,장미과,낙엽교목,1
12. 아산정원,59,수호초,Pachysandra terminalis,회양목과,다년초,
12. 아산정원,60,아이비,Hedera sp.,두릅나무과,다년초,
12. 아산정원,61,애기부들,Typha angustifolia,부들과,다년초,
12. 아산정원,62,앵도나무,Prunus tomentosa,장미과,낙엽관목,6
12. 아산정원,63,야광나무,Malus baccata,장미과,낙엽교목,1
12. 아산정원,64,오죽,Phyllostachys nigra,벼과,다년초,
12. 아산정원,65,옥잠화,Hosta plantaginea,비비추과,다년초,
12. 아산정원,66,황조죽,Phyllostachys aureosulcata,벼과,다년초,
12. 아산정원,67,솜대,Phyllostachys nigra var. henonis,벼과,다년초,
12. 아산정원,68,왕모시풀,Boehmeria pannosa,쐐기풀과,다년초,
12. 아산정원,69,왕원추리,Hemerocallis fulva,백합과,다년초,
12. 아산정원,70,왜모시풀,Boehmeria longispica ,모시풀과,다년초,
12. 아산정원,71,유카,Yucca gloriosa ,용설란과,다년초,
12. 아산정원,72,은목서,Osmanthus x fortunei ,물푸레나무과,상록관목,4
12. 아산정원,73,이나무,Idesia polycarpa ,이나무과,낙엽교목,1
12. 아산정원,74,이팝나무,Chionanthus retusus,물푸레나무과,낙엽교목,21
12. 아산정원,75,자귀나무,Albizia julibrissin,콩과,낙엽교목,7
12. 아산정원,76,자작나무,Betula platyphylla var. japonica ,자작나무과,낙엽교목,8
12. 아산정원,77,조팝나무,Spiraea prunifolia f. simpliciflora,장미과,낙엽관목,10
12. 아산정원,78,좀작살나무,Callicarpa dichotoma,마편초과,낙엽관목,1
12. 아산정원,79,주걱비비추,Hosta clausa ,비비추과,다년초,
12. 아산정원,80,주목,Taxus cuspidata,주목과,상록관목,1
12. 아산정원,81,죽단화,Kerria japonica f. pleniflora,장미과,낙엽관목,50
12. 아산정원,82,참꽃나무,Rhododendron weyrichii,진달래과,낙엽관목,1
12. 아산정원,83,참느릅나무,Ulmus parvifolia ,느릅나무과,낙엽교목,1
12. 아산정원,84,큰꿩의비름,Hylotelephium spectabile,돌나물과,다년초,
12. 아산정원,85,털머위,Farfugium japonicum,국화과,다년초,
12. 아산정원,86,털부처꽃,Lythrum salicaria,부처꽃과,다년초,
12. 아산정원,87,털조록싸리,Lespedeza maximowiczii var. tomentella,콩과,낙엽관목,1
12. 아산정원,88,팽나무,Celtis sinensis ,느릅나무과,낙엽교목,2
12. 아산정원,89,피나무,Tilia amurensis,피나무과,낙엽교목,7
12. 아산정원,90,해국,Aster spathulifolius,국화과,다년초,
12. 아산정원,91,해바라기,Helianthus annuus,국화과,1년초,
12. 아산정원,92,홍가시나무,Photinia glabra,장미과,낙엽교목,3
12. 아산정원,93,홍단풍,Acer palmatum var. speciosum,단풍나무과,낙엽교목,6
12. 아산정원,94,화살나무,Euonymus alatus,노박덩굴과,낙엽관목,20
12. 아산정원,95,회화나무,Sophora japonica,콩과,낙엽교목,2
12. 아산정원,96,후박나무,Machilus thunbergii ,녹나무과,상록교목,2
13. 무궁화원,1,독일가문비,Picea abies,소나무과,상록교목,1
13. 무궁화원,2,무궁화 '개량단심',Hibiscus syriacus 'Gaeryangdansim',아욱과,낙엽관목,2
13. 무궁화원,3,무궁화 '계월향',Hibiscus syriacus 'Gyewolhyang',아욱과,낙엽관목,5
13. 무궁화원,4,무궁화 '고요',Hibiscus syriacus 'Goyo',아욱과,낙엽관목,3
13. 무궁화원,5,무궁화 '고요로',Hibiscus syriacus 'Goyoro' ,아욱과,낙엽관목,1
13. 무궁화원,6,무궁화 '고주몽',Hibiscus syriacus 'Gojumong',아욱과,낙엽관목,4
13. 무궁화원,7,무궁화 '광화림',Hibiscus syriacus 'Gwanghwarim',아욱과,낙엽관목,3
13. 무궁화원,8,무궁화 '꽃뫼',Hibiscus syriacus 'Kkonmoe',아욱과,낙엽관목,3
13. 무궁화원,9,무궁화 '나보라',Hibiscus syriacus 'Nabora',아욱과,낙엽관목,4
13. 무궁화원,10,무궁화 '난파',Hibiscus syriacus 'Nanpa',아욱과,낙엽관목,2
13. 무궁화원,11,무궁화 '눈뫼',Hibiscus syriacus 'Nunmoe',아욱과,낙엽관목,5
13. 무궁화원,12,무궁화 '눈보라',Hibiscus syriacus 'Nunbora',아욱과,낙엽관목,4
13. 무궁화원,13,무궁화 '늘사랑',Hibiscus syriacus 'Neulsarang',아욱과,낙엽관목,5
13. 무궁화원,14,무궁화 '님보라',Hibiscus syriacus 'Nimbora',아욱과,낙엽관목,1
13. 무궁화원,15,무궁화 '단심',Hibiscus syriacus 'Dansim' ,아욱과,낙엽관목,2
13. 무궁화원,16,무궁화 '대덕사',Hibiscus syriacus 'Daedeoksa',아욱과,낙엽관목,4
13. 무궁화원,17,무궁화 '무지개',Hibiscus syriacus 'Mujigae',아욱과,낙엽관목,3
13. 무궁화원,18,무궁화 '배달',Hibiscus syriacus 'Baedal',아욱과,낙엽관목,3
13. 무궁화원,19,무궁화 '백단심',Hibiscus syriacus 'Baekdansim',아욱과,낙엽관목,2
13. 무궁화원,20,무궁화 '백화림',Hibiscus syriacus 'Baekwarim',아욱과,낙엽관목,8
13. 무궁화원,21,무궁화 '불꽃',Hibiscus syriacus 'Bulkkot',아욱과,낙엽관목,5
13. 무궁화원,22,무궁화 '불새',Hibiscus syriacus 'Pulsae',아욱과,낙엽관목,3
13. 무궁화원,23,무궁화 '산처녀',Hibiscus syriacus 'Sancheonyeo',아욱과,낙엽관목,2
13. 무궁화원,24,무궁화 '새빛',Hibiscus syriacus 'Saebit',아욱과,낙엽관목,2
13. 무궁화원,25,무궁화 '새아사달',Hibiscus syriacus 'Saeasadal',아욱과,낙엽관목,2
13. 무궁화원,26,무궁화 '새아침',Hibiscus syriacus 'Saeachim',아욱과,낙엽관목,2
13. 무궁화원,27,무궁화 '새영광',Hibiscus syriacus 'Saeyeonggwang',아욱과,낙엽관목,4
13. 무궁화원,28,무궁화 '새한',Hibiscus syriacus 'Saehan',아욱과,낙엽관목,7
13. 무궁화원,29,무궁화 '서광',Hibiscus syriacus 'Seogwang',아욱과,낙엽관목,1
13. 무궁화원,30,무궁화 '서호향',Hibiscus syriacus 'Seohohyang',아욱과,낙엽관목,3
13. 무궁화원,31,무궁화 '선덕',Hibiscus syriacus 'Seondok',아욱과,낙엽관목,1
13. 무궁화원,32,무궁화 '설단심',Hibiscus syriacus 'Seoldansim',아욱과,낙엽관목,4
13. 무궁화원,33,무궁화 '설악',Hibiscus syriacus 'Seorak',아욱과,낙엽관목,5
13. 무궁화원,34,무궁화 '소월',Hibiscus syriacus 'Sowol',아욱과,낙엽관목,4
13. 무궁화원,35,무궁화 '수줍어',Hibiscus syriacus 'Sujubeo',아욱과,낙엽관목,4
13. 무궁화원,36,무궁화 '순정',Hibiscus syriacus 'Sunjeong',아욱과,낙엽관목,4
13. 무궁화원,37,무궁화 '신단심',Hibiscus syriacus 'Sindansim',아욱과,낙엽관목,4
13. 무궁화원,38,무궁화 '신태양',Hibiscus syriacus 'Sintaeyang',아욱과,낙엽관목,1
13. 무궁화원,39,무궁화 '아랑',Hibiscus syriacus 'Arang',아욱과,낙엽관목,2
13. 무궁화원,40,무궁화 '아사녀',Hibiscus syriacus 'Asanyeo' ,아욱과,낙엽관목,1
13. 무궁화원,41,무궁화 '아사달',Hibiscus syriacus 'Asadal',아욱과,낙엽관목,6
13. 무궁화원,42,무궁화 '에밀레',Hibiscus syriacus 'Emille',아욱과,낙엽관목,1
13. 무궁화원,43,무궁화 '영광',Hibiscus syriacus 'Yeonggwang',아욱과,낙엽관목,4
13. 무궁화원,44,무궁화 '옥녀',Hibiscus syriacus 'Ongnyeo' ,아욱과,낙엽관목,3
13. 무궁화원,45,무궁화 '옥선',Hibiscus syriacus 'Okseon',아욱과,낙엽관목,4
13. 무궁화원,46,무궁화 '옥토끼',Hibiscus syriacus 'Oktokki',아욱과,낙엽관목,6
13. 무궁화원,47,무궁화 '원술랑',Hibiscus syriacus 'Wonsullang',아욱과,낙엽관목,3
13. 무궁화원,48,무궁화 '원화',Hibiscus syriacus 'Weonhwa',아욱과,낙엽관목,7
13. 무궁화원,49,무궁화 '월산',Hibiscus syriacus 'Weolsan',아욱과,낙엽관목,8
13. 무궁화원,50,무궁화 '일편단심',Hibiscus syriacus 'Ilpyeondansim' ,아욱과,낙엽관목,1
13. 무궁화원,51,무궁화 '임진홍',Hibiscus syriacus 'Imjinhong',아욱과,낙엽관목,4
13. 무궁화원,52,무궁화 '자선',Hibiscus syriacus 'Jaseon',아욱과,낙엽관목,6
13. 무궁화원,53,무궁화 '청사랑',Hibiscus syriacus 'Cheongsarang',아욱과,낙엽관목,1
13. 무궁화원,54,무궁화 '초롱',Hibiscus syriacus 'Chorong',아욱과,낙엽관목,4
13. 무궁화원,55,무궁화 '충무',Hibiscus syriacus 'Chungmu',아욱과,낙엽관목,5
13. 무궁화원,56,무궁화 '칠보아사달',Hibiscus syriacus 'Chilboasadal',아욱과,낙엽관목,4
13. 무궁화원,57,무궁화 '파랑새',Hibiscus syriacus 'Parangsae',아욱과,낙엽관목,5
13. 무궁화원,58,무궁화 '평강공주',Hibiscus syriacus 'Pyonggang-Gongju',아욱과,낙엽관목,3
13. 무궁화원,59,무궁화 '평화',Hibiscus syriacus 'Pyeonghwa',아욱과,낙엽관목,2
13. 무궁화원,60,무궁화 '평화단심',Hibiscus syriacus 'Pyeonghwadansim',아욱과,낙엽관목,3
13. 무궁화원,61,무궁화 '한누리',Hibiscus syriacus 'Hannuri',아욱과,낙엽관목,5
13. 무궁화원,62,무궁화 '한마음',Hibiscus syriacus 'Hanmaeum',아욱과,낙엽관목,2
13. 무궁화원,63,무궁화 '한보람',Hibiscus syriacus 'Hanboram',아욱과,낙엽관목,6
13. 무궁화원,64,무궁화 '한사랑',Hibiscus syriacus 'Hansarang',아욱과,낙엽관목,2
13. 무궁화원,65,무궁화 '한서',Hibiscus syriacus 'Hanseo',아욱과,낙엽관목,1
13. 무궁화원,66,무궁화 '한얼',Hibiscus syriacus 'Haneol',아욱과,낙엽관목,3
13. 무궁화원,67,무궁화 '한얼단심',Hibiscus syriacus 'Haneoldansim',아욱과,낙엽관목,1
13. 무궁화원,68,무궁화 '향단',Hibiscus syriacus 'Hyangdan',아욱과,낙엽관목,1
13. 무궁화원,69,무궁화 '홍공작',Hibiscus syriacus 'Honggongjak',아욱과,낙엽관목,3
13. 무궁화원,70,무궁화 '홍순',Hibiscus syriacus 'Hongsun',아욱과,낙엽관목,4
13. 무궁화원,71,무궁화 '홍화림',Hibiscus syriacus 'Honghwarim',아욱과,낙엽관목,3
13. 무궁화원,72,무궁화 '화랑',Hibiscus syriacus 'Hwarang',아욱과,낙엽관목,2
13. 무궁화원,73,무궁화 '화홍',Hibiscus syriacus 'Hwahong',아욱과,낙엽관목,4
13. 무궁화원,74,생강나무,Lindera obtusiloba,녹나무과,낙엽관목,2
13. 무궁화원,75,진달래,Rhododendron mucronulatum ,진달래과,낙엽관목,20
13. 무궁화원,76,편백,Chamaecyparis obtusa,측백나무과,상록교목,5
14. 외국수원,1,가막살나무,Viburnum dilatatum,인동과,낙엽관목,8
14. 외국수원,2,가이즈카 향나무,Juniperus chinensis var. kaizuka ,측백나무과,상록교목,3
14. 외국수원,3,감탕나무,Ilex integra ,감탕나무과,상록관목,23
14. 외국수원,4,감태나무,Lindera glauca,녹나무과,낙엽관목,1
14. 외국수원,5,개잎갈나무,Cedrus deodara,소나무과,상록교목,7
14. 외국수원,6,개회나무,Syringa reticulata var. mandshurica,물푸레나무과,낙엽교목,1
14. 외국수원,7,고광나무,Philadelphus schrenkii ,장미과,낙엽관목,1
14. 외국수원,8,고려영산홍,Rhododendron indicum ,진달래과,낙엽관목,20
14. 외국수원,9,곰반송,Pinus thunbergii f. multicaulis,소나무과,상록교목,1
14. 외국수원,10,공작단풍,Acer palmatum var. dissectum ,단풍나무과,낙엽관목,1
14. 외국수원,11,광나무,Ligustrum japonicum ,물푸레나무과,상록교목,6
14. 외국수원,12,괴불나무,Lonicera maackii,인동과,낙엽관목,3
14. 외국수원,13,구골나무,Osmanthus heterophyllus ,물푸레나무과,상록관목,3
14. 외국수원,14,구실잣밤나무,Castanopsis sieboldii ,참나무과,상록교목,10
14. 외국수원,15,굴거리나무,Daphniphyllum macropodum,굴거리나무과,상록교목,6
14. 외국수원,16,귀룽나무,Prunus padus,장미과,낙엽교목,3
14. 외국수원,17,금선개나리,Forsythia viridissima var. koreana 'Kumson' ,물푸레나무과,낙엽관목,3
14. 외국수원,18,금식나무,Aucuba japonica f. variegata,식나무과,상록관목,1
14. 외국수원,19,금테사철나무,Euonymus japonicus 'Aureo-marginata',노박덩굴과,상록관목,2
14. 외국수원,20,금테쥐똥나무,Ligustrum obtusifolium  'Aureo-marginatus',물푸레나무과,낙엽관목,3
14. 외국수원,21,긴잎황금송,Pinus sp. ,소나무과,상록교목,2
