,sector
2356,61
2357,12
2358,51
2378,25
2379,41
2380,96
2381,30
2382,70
2383,15
2385,39
2386,24
2387,24
2388,24
2389,89
2390,48
2391,68
2392,63
2393,33
2394,2
2395,24
2396,87
2397,44
2398,28
2399,32
2400,94
2415,95
2416,88
2419,16
2420,75
2422,42
2424,12
2428,21
2429,14
2430,65
2451,17
2452,44
2453,14
2454,70
2455,87
2456,4
2457,49
2458,30
2460,46
2461,38
2462,92
2464,80
2465,66
2466,94
2467,41
2468,53
2469,87
2470,6
2471,89
2472,0
2475,70
2477,1
2487,86
2488,82
2489,62
2491,10
2492,56
2493,72
2494,5
2499,12
2500,75
2501,33
2502,60
2520,63
2522,39
2523,86
2524,24
2525,27
2527,24
2528,77
2529,68
2530,42
2531,47
2532,2
2533,95
2534,27
2535,91
2536,27
2539,22
2540,5
2541,10
2542,61
2543,56
2544,75
2545,86
2546,75
2547,46
2548,68
2549,84
2550,78
2551,52
2552,59
2559,47
2563,14
2564,30
2568,13
2569,52
2575,79
2576,77
2577,58
2578,90
2598,88
2599,7
2600,20
2601,84
2602,56
2603,74
2604,27
2605,44
2606,72
2607,50
2608,27
2609,30
2610,54
2611,32
2615,27
2616,7
2617,52
2618,54
2619,64
2620,17
2621,41
2622,79
2623,66
2624,10
2625,41
2626,87
2627,37
2628,61
2629,51
2640,28
2641,72
2649,98
2651,26
2652,84
2654,60
2671,13
2672,48
2674,84
2675,14
2676,64
2677,49
2678,17
2679,2
2681,2
2683,68
2686,3
2690,4
2691,10
2692,54
2693,38
2694,64
2695,34
2696,22
2697,45
2698,1
2699,86
2706,98
2707,11
2708,50
2727,26
2728,86
2730,5
2745,18
2746,46
2747,37
2748,87
2749,97
2750,37
2751,95
2752,32
2753,63
2754,1
2755,2
2756,38
2757,23
2766,58
2767,13
2768,16
2769,30
2770,41
2771,0
2773,27
2779,49
2780,96
2781,10
2783,97
2784,85
2798,16
2799,71
2800,69
2805,63
2816,60
2817,80
2819,11
2820,78
2821,70
2822,3
2823,5
2824,36
2825,61
2826,11
2827,77
2830,93
2839,25
2841,2
2842,2
2843,73
2844,67
2845,14
2846,60
2847,10
2849,22
2856,40
2857,9
2859,2
2860,75
2871,39
2872,41
2874,24
2875,86
2879,17
2880,94
2882,32
2892,10
2893,13
2894,45
2895,93
2896,48
2897,63
2898,0
2899,7
2901,94
2902,45
2916,22
2917,20
2918,83
2919,76
2920,15
2921,63
2922,73
2923,99
2924,71
2925,1
2926,36
2927,46
2928,10
2929,60
2931,16
2937,17
2938,58
2941,60
2942,21
2953,67
2957,22
2971,48
2972,96
2973,4
2975,99
2976,23
2977,49
2978,84
2979,20
2980,94
2981,37
2982,32
2983,36
2984,50
2998,22
2999,3
3000,63
3001,82
3002,21
3003,22
3004,50
3005,44
3007,20
3008,10
3011,82
3014,82
3015,86
3016,11
3018,7
3019,2
3020,34
3030,13
3034,84
3035,16
3036,39
3037,30
3052,86
3054,16
3055,10
3056,93
3057,70
3059,2
3060,38
3061,11
3062,47
3063,86
3064,30
3065,54
3066,96
3067,12
3079,69
3080,54
3086,6
3087,54
3088,23
3089,51
3090,36
3091,44
3092,38
3096,48
3099,40
3101,40
3104,80
3105,82
3107,80
3108,94
3109,7
3110,5
3113,60
3114,2
3119,13
3120,73
3125,41
3126,35
3128,20
3129,33
3145,72
3146,17
3152,93
3153,62
3154,97
3155,28
3156,60
3157,24
3158,63
3159,89
3160,6
3161,2
3162,52
3163,44
3164,86
3165,50
3167,94
3179,8
3189,11
3190,97
3191,30
3193,11
3194,64
3195,16
3196,68
3201,64
3203,77
3204,38
3205,30
3208,2
3211,0
3212,35
3213,69
3214,14
3217,35
3220,51
3225,79
3226,13
3229,38
3230,40
3231,32
3246,63
3247,76
3252,16
3253,27
3254,86
3255,13
3256,28
3257,10
3258,30
3259,37
3260,45
3262,86
3263,16
3264,59
3265,14
3266,89
3267,33
3268,93
3269,97
3270,80
3271,24
3272,20
3276,15
3277,86
3288,32
3289,99
3292,17
3293,92
3294,46
3295,21
3296,60
3299,68
3300,37
3301,94
3302,44
3305,52
3306,99
3307,2
3310,17
3311,97
3312,7
3315,47
3316,38
3317,5
3323,18
3328,45
3329,28
3344,13
3345,97
3349,6
3350,36
3352,35
3353,5
3354,14
3355,36
3356,70
3357,65
3358,41
3359,5
3360,38
3361,46
3362,83
3363,53
3364,35
3365,59
3366,28
3367,45
3368,78
3369,77
3373,63
3374,17
3375,6
3376,1
3379,14
3380,42
3381,46
3382,63
3389,18
3390,44
3391,39
3394,28
3395,38
3396,75
3397,10
3398,70
3399,36
3401,60
3402,63
3403,49
3406,32
3407,38
3413,7
3416,89
3417,72
3422,6
3423,25
3428,6
3429,74
3430,53
3444,36
3445,2
3448,97
3449,34
3450,30
3451,64
3452,17
3453,50
3454,86
3455,11
3461,88
3462,54
3463,5
3464,18
3465,43
3466,14
3483,20
3484,22
3485,51
3487,95
3488,57
3489,20
3490,50
3491,13
3492,40
3497,1
3498,72
3499,28
3500,60
3505,17
3506,44
3513,49
3514,19
3516,96
3517,21
3522,12
3523,95
3530,72
3531,26
3546,40
3547,5
3550,77
3551,37
3552,7
3553,95
3554,19
3555,44
3556,39
3557,39
3560,72
3561,75
3562,45
3563,22
3585,28
3586,22
3587,42
3588,47
3589,75
3590,27
3595,58
3596,37
3597,62
3602,71
3603,99
3611,22
3612,60
3613,96
3614,2
3616,33
3622,33
3623,10
3630,14
3631,71
3632,12
3645,78
3648,13
3649,0
3650,36
3651,23
3652,48
3653,18
3654,62
3655,20
3656,14
3657,93
3658,32
3659,82
3688,71
3689,50
3690,17
3691,78
3692,19
3697,13
3698,82
3699,28
3700,10
3701,60
3702,17
3703,60
3704,13
3713,58
3714,42
3717,17
3718,4
3723,86
3724,18
3733,90
3743,89
3745,16
3746,23
3747,82
3748,89
3749,77
3750,69
3751,9
3752,57
3753,73
3754,16
3755,17
3756,13
3757,22
3758,35
3759,97
3785,39
3786,55
3787,78
3788,9
3789,41
3790,6
3791,43
3792,74
3793,63
3798,1
3799,90
3800,26
3801,92
3803,44
3804,82
3808,97
3809,42
3821,72
3822,11
3831,60
3832,79
3833,30
3834,28
3835,14
3836,13
3837,0
3838,6
3839,50
3840,28
3841,79
3842,78
3843,26
3844,4
3846,25
3861,69
3884,65
3885,40
3886,2
3887,28
3888,56
3889,95
3893,18
3894,61
3895,14
3896,36
3897,24
3898,2
3902,29
3903,33
3904,27
3905,56
3911,88
3918,73
3928,63
3929,1
3930,68
3931,24
3932,46
3933,13
3934,2
3935,20
3938,61
3959,20
3960,35
3976,84
3978,6
3980,27
